cpu,mem,timestamp
11.4,43.3,2020-02-14 19:55:52.386561
18.5,43.6,2020-02-14 19:56:02.387650
17.3,43.5,2020-02-14 19:56:12.387789
21.7,43.7,2020-02-14 19:56:22.390487
17.5,43.5,2020-02-14 19:56:32.391569
